server : http://localhost:8000  (b10666-4e97ac86e)
model  : qwen3.8-flash-next   ctx 262,144
params : temperature 1.0  top_p 0.95  top_k 20  min_p 0.0  repeat_penalty 1.0  max_tokens 49152  (everything else = server/model defaults)
run    : bench_results/20260830-204523_qwen3.8-flash-next_spec01rate-p1_ngram-mod/


[1/3] build app         15097 tok   102.7 t/s   
[1/3] build app         15120 tok   102.7 t/s   
[1/3] build app         15143 tok   102.6 t/s   
[1/3] build app         15167 tok   102.5 t/s   
[1/3] build app         15190 tok   102.5 t/s   
[1/3] build app         15211 tok   102.5 t/s   
[1/3] build app         15233 tok   102.5 t/s   
[1/3] build app         15253 tok   102.4 t/s   
[1/3] build app         15280 tok   102.4 t/s   
[1/3] build app         15299 tok   102.3 t/s   
[1/3] build app         15346 tok   102.4 t/s   
[1/3] build app         15367 tok   102.3 t/s   
[1/3] build app         15442 tok   102.6 t/s   
[1/3] build app         15464 tok   102.5 t/s   
[1/3] build app         15485 tok   102.5 t/s   
[1/3] build app         15503 tok   102.5 t/s   
[1/3] build app         15524 tok   102.4 t/s   
[1/3] build app         15551 tok   102.4 t/s   
[1/3] build app         15572 tok   102.3 t/s   
[1/3] build app         15649 tok   102.6 t/s   
[1/3] build app         15672 tok   102.6 t/s   
[1/3] build app         15695 tok   102.5 t/s   
[1/3] build app         15718 tok   102.5 t/s   
[1/3] build app         15733 tok   102.4 t/s   
[1/3] build app         15756 tok   102.4 t/s   
[1/3] build app         15779 tok   102.4 t/s   
[1/3] build app         15802 tok   102.4 t/s   
[1/3] build app         15825 tok   102.3 t/s   
[1/3] build app         15848 tok   102.3 t/s   
[1/3] build app         15868 tok   102.3 t/s  TTFT 136.23s  accept 37% (1183/3200)          

[2/3] chat history      22167 tok    91.6 t/s   
[2/3] chat history      22187 tok    91.6 t/s   
[2/3] chat history      22207 tok    91.5 t/s   
[2/3] chat history      22227 tok    91.5 t/s   
[2/3] chat history      22246 tok    91.5 t/s   
[2/3] chat history      22266 tok    91.5 t/s   
[2/3] chat history      22286 tok    91.5 t/s   
[2/3] chat history      22306 tok    91.5 t/s   
[2/3] chat history      22326 tok    91.5 t/s   
[2/3] chat history      22346 tok    91.4 t/s   
[2/3] chat history      22366 tok    91.4 t/s   
[2/3] chat history      22386 tok    91.4 t/s   
[2/3] chat history      22406 tok    91.4 t/s   
[2/3] chat history      22423 tok    91.4 t/s   
[2/3] chat history      22443 tok    91.4 t/s   
[2/3] chat history      22463 tok    91.4 t/s   
[2/3] chat history      22483 tok    91.3 t/s   
[2/3] chat history      22502 tok    91.3 t/s   
[2/3] chat history      22522 tok    91.3 t/s   
[2/3] chat history      22542 tok    91.3 t/s   
[2/3] chat history      22562 tok    91.3 t/s   
[2/3] chat history      22575 tok    91.2 t/s   
[2/3] chat history      22642 tok    91.4 t/s   
[2/3] chat history      22707 tok    91.6 t/s   
[2/3] chat history      22742 tok    91.6 t/s   
[2/3] chat history      22794 tok    91.7 t/s   
[2/3] chat history      22814 tok    91.7 t/s   
[2/3] chat history      22834 tok    91.7 t/s   
[2/3] chat history      22854 tok    91.7 t/s   
[2/3] chat history      22874 tok    91.7 t/s   
[2/3] chat history      22894 tok    91.7 t/s   
[2/3] chat history      22914 tok    91.6 t/s   
[2/3] chat history      22990 tok    91.9 t/s   
[2/3] chat history      23009 tok    91.8 t/s   
[2/3] chat history      23029 tok    91.8 t/s   
[2/3] chat history      23042 tok    91.8 t/s   
[2/3] chat history      23062 tok    91.8 t/s   
[2/3] chat history      23082 tok    91.8 t/s   
[2/3] chat history      23102 tok    91.7 t/s   
[2/3] chat history      23122 tok    91.7 t/s   
[2/3] chat history      23142 tok    91.7 t/s   
[2/3] chat history      23162 tok    91.7 t/s   
[2/3] chat history      23182 tok    91.7 t/s   
[2/3] chat history      23202 tok    91.7 t/s   
[2/3] chat history      23222 tok    91.7 t/s   
[2/3] chat history      23242 tok    91.6 t/s   
[2/3] chat history      23258 tok    91.6 t/s   
[2/3] chat history      23277 tok    91.6 t/s   
[2/3] chat history      23297 tok    91.6 t/s   
[2/3] chat history      23317 tok    91.6 t/s   
[2/3] chat history      23337 tok    91.6 t/s   
[2/3] chat history      23357 tok    91.5 t/s   
[2/3] chat history      23377 tok    91.5 t/s   
[2/3] chat history      23397 tok    91.5 t/s   
[2/3] chat history      23417 tok    91.5 t/s   
[2/3] chat history      23437 tok    91.5 t/s   
[2/3] chat history      23457 tok    91.5 t/s   
[2/3] chat history      23477 tok    91.5 t/s   
[2/3] chat history      23497 tok    91.4 t/s   
[2/3] chat history      23516 tok    91.4 t/s   
[2/3] chat history      23536 tok    91.4 t/s   
[2/3] chat history      23556 tok    91.4 t/s   
[2/3] chat history      23576 tok    91.4 t/s   
[2/3] chat history      23596 tok    91.4 t/s   
[2/3] chat history      23616 tok    91.4 t/s   
[2/3] chat history      23636 tok    91.3 t/s   
[2/3] chat history      23656 tok    91.3 t/s   
[2/3] chat history      23676 tok    91.3 t/s   
[2/3] chat history      23696 tok    91.3 t/s   
[2/3] chat history      23716 tok    91.3 t/s   
[2/3] chat history      23736 tok    91.3 t/s   
[2/3] chat history      23756 tok    91.3 t/s   
[2/3] chat history      23774 tok    91.2 t/s   
[2/3] chat history      23794 tok    91.2 t/s   
[2/3] chat history      23814 tok    91.2 t/s   
[2/3] chat history      23834 tok    91.2 t/s   
[2/3] chat history      23854 tok    91.2 t/s   
[2/3] chat history      23874 tok    91.2 t/s   
[2/3] chat history      23894 tok    91.2 t/s   
[2/3] chat history      23914 tok    91.1 t/s   
[2/3] chat history      23934 tok    91.1 t/s   
[2/3] chat history      23954 tok    91.1 t/s   
[2/3] chat history      23974 tok    91.1 t/s   
[2/3] chat history      23994 tok    91.1 t/s   
[2/3] chat history      24014 tok    91.1 t/s   
[2/3] chat history      24032 tok    91.1 t/s   
[2/3] chat history      24052 tok    91.1 t/s   
[2/3] chat history      24072 tok    91.0 t/s   
[2/3] chat history      24089 tok    91.0 t/s   
[2/3] chat history      24109 tok    91.0 t/s   
[2/3] chat history      24129 tok    91.0 t/s   
[2/3] chat history      24149 tok    91.0 t/s   
[2/3] chat history      24169 tok    91.0 t/s   
[2/3] chat history      24189 tok    90.9 t/s   
[2/3] chat history      24209 tok    90.9 t/s   
[2/3] chat history      24229 tok    90.9 t/s   
[2/3] chat history      24249 tok    90.9 t/s   
[2/3] chat history      24303 tok    91.0 t/s   
[2/3] chat history      24319 tok    90.9 t/s   
[2/3] chat history      24361 tok    91.0 t/s   
[2/3] chat history      24374 tok    90.9 t/s   
[2/3] chat history      24453 tok    91.1 t/s   
[2/3] chat history      24473 tok    91.1 t/s   
[2/3] chat history      24493 tok    91.1 t/s   
[2/3] chat history      24513 tok    91.1 t/s   
[2/3] chat history      24533 tok    91.1 t/s   
[2/3] chat history      24551 tok    91.1 t/s   
[2/3] chat history      24571 tok    91.0 t/s   
[2/3] chat history      24591 tok    91.0 t/s   
[2/3] chat history      24611 tok    91.0 t/s   
[2/3] chat history      24631 tok    91.0 t/s   
[2/3] chat history      24651 tok    91.0 t/s   
[2/3] chat history      24671 tok    91.0 t/s   
[2/3] chat history      24691 tok    91.0 t/s   
[2/3] chat history      24711 tok    90.9 t/s   
[2/3] chat history      24731 tok    90.9 t/s   
[2/3] chat history      24751 tok    90.9 t/s   
[2/3] chat history      24771 tok    90.9 t/s   
[2/3] chat history      24791 tok    90.9 t/s   
[2/3] chat history      24809 tok    90.9 t/s   
[2/3] chat history      24829 tok    90.9 t/s   
[2/3] chat history      24849 tok    90.8 t/s   
[2/3] chat history      24869 tok    90.8 t/s   
[2/3] chat history      24889 tok    90.8 t/s   
[2/3] chat history      24909 tok    90.8 t/s   
[2/3] chat history      24929 tok    90.8 t/s   
[2/3] chat history      24949 tok    90.8 t/s   
[2/3] chat history      24962 tok    90.7 t/s   
[2/3] chat history      24982 tok    90.7 t/s   
[2/3] chat history      25002 tok    90.7 t/s   
[2/3] chat history      25022 tok    90.7 t/s   
[2/3] chat history      25042 tok    90.7 t/s   
[2/3] chat history      25060 tok    90.7 t/s   
[2/3] chat history      25080 tok    90.7 t/s   
[2/3] chat history      25100 tok    90.6 t/s   
[2/3] chat history      25120 tok    90.6 t/s   
[2/3] chat history      25140 tok    90.6 t/s   
[2/3] chat history      25160 tok    90.6 t/s   
[2/3] chat history      25180 tok    90.6 t/s   
[2/3] chat history      25200 tok    90.6 t/s   
[2/3] chat history      25220 tok    90.6 t/s   
[2/3] chat history      25240 tok    90.5 t/s   
[2/3] chat history      25253 tok    90.5 t/s   
[2/3] chat history      25280 tok    90.5 t/s   
[2/3] chat history      25300 tok    90.5 t/s   
[2/3] chat history      25318 tok    90.5 t/s   
[2/3] chat history      25338 tok    90.5 t/s   
[2/3] chat history      25358 tok    90.5 t/s   
[2/3] chat history      25378 tok    90.4 t/s   
[2/3] chat history      25395 tok    90.4 t/s   
[2/3] chat history      25418 tok    90.4 t/s   
[2/3] chat history      25437 tok    90.4 t/s   
[2/3] chat history      25451 tok    90.3 t/s   
[2/3] chat history      25534 tok    90.6 t/s   
[2/3] chat history      25546 tok    90.5 t/s   
[2/3] chat history      25569 tok    90.5 t/s   
[2/3] chat history      25582 tok    90.5 t/s   
[2/3] chat history      25607 tok    90.5 t/s   
[2/3] chat history      25626 tok    90.5 t/s   
[2/3] chat history      25645 tok    90.4 t/s   
[2/3] chat history      25664 tok    90.4 t/s   
[2/3] chat history      25683 tok    90.4 t/s   
[2/3] chat history      25703 tok    90.4 t/s   
[2/3] chat history      25722 tok    90.4 t/s   
[2/3] chat history      25741 tok    90.4 t/s   
[2/3] chat history      25760 tok    90.4 t/s   
[2/3] chat history      25785 tok    90.4 t/s   
[2/3] chat history      25804 tok    90.4 t/s   
[2/3] chat history      25824 tok    90.3 t/s   
[2/3] chat history      25843 tok    90.3 t/s   
[2/3] chat history      25862 tok    90.3 t/s   
[2/3] chat history      25881 tok    90.3 t/s   
[2/3] chat history      25900 tok    90.3 t/s   
[2/3] chat history      25919 tok    90.3 t/s   
[2/3] chat history      25938 tok    90.3 t/s   
[2/3] chat history      25957 tok    90.3 t/s   
[2/3] chat history      25976 tok    90.2 t/s   
[2/3] chat history      25995 tok    90.2 t/s   
[2/3] chat history      26014 tok    90.2 t/s   
[2/3] chat history      26033 tok    90.2 t/s   
[2/3] chat history      26052 tok    90.2 t/s   
[2/3] chat history      26071 tok    90.2 t/s   
[2/3] chat history      26089 tok    90.2 t/s   
[2/3] chat history      26108 tok    90.2 t/s   
[2/3] chat history      26127 tok    90.1 t/s   
[2/3] chat history      26146 tok    90.1 t/s   
[2/3] chat history      26165 tok    90.1 t/s   
[2/3] chat history      26184 tok    90.1 t/s   
[2/3] chat history      26203 tok    90.1 t/s   
[2/3] chat history      26222 tok    90.1 t/s   
[2/3] chat history      26241 tok    90.1 t/s   
[2/3] chat history      26260 tok    90.1 t/s   
[2/3] chat history      26279 tok    90.0 t/s   
[2/3] chat history      26298 tok    90.0 t/s   
[2/3] chat history      26317 tok    90.0 t/s   
[2/3] chat history      26364 tok    90.1 t/s   
[2/3] chat history      26383 tok    90.1 t/s   
[2/3] chat history      26395 tok    90.0 t/s   
[2/3] chat history      26416 tok    90.0 t/s   
[2/3] chat history      26431 tok    90.0 t/s   
[2/3] chat history      26450 tok    90.0 t/s   
[2/3] chat history      26473 tok    90.0 t/s   
[2/3] chat history      26492 tok    90.0 t/s   
[2/3] chat history      26525 tok    90.0 t/s   
[2/3] chat history      26544 tok    90.0 t/s   
[2/3] chat history      26563 tok    90.0 t/s   
[2/3] chat history      26582 tok    90.0 t/s   
[2/3] chat history      26600 tok    90.0 t/s   
[2/3] chat history      26619 tok    89.9 t/s   
[2/3] chat history      26638 tok    89.9 t/s   
[2/3] chat history      26657 tok    89.9 t/s   
[2/3] chat history      26676 tok    89.9 t/s   
[2/3] chat history      26695 tok    89.9 t/s   
[2/3] chat history      26714 tok    89.9 t/s   
[2/3] chat history      26733 tok    89.9 t/s   
[2/3] chat history      26752 tok    89.9 t/s   
[2/3] chat history      26771 tok    89.8 t/s   
[2/3] chat history      26790 tok    89.8 t/s   
[2/3] chat history      26799 tok    89.8 t/s  TTFT 243.30s  accept 34% (898/2655)          

[3/3] settings panel    18486 tok    87.8 t/s   
[3/3] settings panel    18506 tok    87.7 t/s   
[3/3] settings panel    18526 tok    87.7 t/s   
[3/3] settings panel    18546 tok    87.7 t/s   
[3/3] settings panel    18565 tok    87.7 t/s   
[3/3] settings panel    18585 tok    87.7 t/s   
[3/3] settings panel    18605 tok    87.7 t/s   
[3/3] settings panel    18625 tok    87.7 t/s   
[3/3] settings panel    18645 tok    87.7 t/s   
[3/3] settings panel    18665 tok    87.6 t/s   
[3/3] settings panel    18685 tok    87.6 t/s   
[3/3] settings panel    18699 tok    87.6 t/s   
[3/3] settings panel    18719 tok    87.6 t/s   
[3/3] settings panel    18739 tok    87.6 t/s   
[3/3] settings panel    18759 tok    87.5 t/s   
[3/3] settings panel    18778 tok    87.5 t/s   
[3/3] settings panel    18817 tok    87.6 t/s   
[3/3] settings panel    18837 tok    87.5 t/s   
[3/3] settings panel    18857 tok    87.5 t/s   
[3/3] settings panel    18877 tok    87.5 t/s   
[3/3] settings panel    18906 tok    87.5 t/s   
[3/3] settings panel    18926 tok    87.5 t/s   
[3/3] settings panel    18946 tok    87.5 t/s   
[3/3] settings panel    18966 tok    87.5 t/s   
[3/3] settings panel    18986 tok    87.5 t/s   
[3/3] settings panel    19005 tok    87.4 t/s   
[3/3] settings panel    19074 tok    87.6 t/s   
[3/3] settings panel    19094 tok    87.6 t/s   
[3/3] settings panel    19173 tok    87.8 t/s   
[3/3] settings panel    19192 tok    87.8 t/s   
[3/3] settings panel    19281 tok    88.1 t/s   
[3/3] settings panel    19301 tok    88.1 t/s   
[3/3] settings panel    19321 tok    88.1 t/s   
[3/3] settings panel    19339 tok    88.1 t/s   
[3/3] settings panel    19359 tok    88.0 t/s   
[3/3] settings panel    19407 tok    88.2 t/s   
[3/3] settings panel    19418 tok    88.1 t/s   
[3/3] settings panel    19444 tok    88.1 t/s   
[3/3] settings panel    19463 tok    88.1 t/s   
[3/3] settings panel    19487 tok    88.1 t/s   
[3/3] settings panel    19507 tok    88.1 t/s   
[3/3] settings panel    19527 tok    88.0 t/s   
[3/3] settings panel    19547 tok    88.0 t/s   
[3/3] settings panel    19567 tok    88.0 t/s   
[3/3] settings panel    19585 tok    88.0 t/s   
[3/3] settings panel    19605 tok    88.0 t/s   
[3/3] settings panel    19625 tok    88.0 t/s   
[3/3] settings panel    19645 tok    88.0 t/s   
[3/3] settings panel    19665 tok    87.9 t/s   
[3/3] settings panel    19685 tok    87.9 t/s   
[3/3] settings panel    19705 tok    87.9 t/s   
[3/3] settings panel    19725 tok    87.9 t/s   
[3/3] settings panel    19745 tok    87.9 t/s   
[3/3] settings panel    19765 tok    87.9 t/s   
[3/3] settings panel    19785 tok    87.9 t/s   
[3/3] settings panel    19805 tok    87.9 t/s   
[3/3] settings panel    19825 tok    87.8 t/s   
[3/3] settings panel    19843 tok    87.8 t/s   
[3/3] settings panel    19863 tok    87.8 t/s   
[3/3] settings panel    19883 tok    87.8 t/s   
[3/3] settings panel    19903 tok    87.8 t/s   
[3/3] settings panel    19923 tok    87.8 t/s   
[3/3] settings panel    19943 tok    87.8 t/s   
[3/3] settings panel    19963 tok    87.8 t/s   
[3/3] settings panel    19983 tok    87.7 t/s   
[3/3] settings panel    20003 tok    87.7 t/s   
[3/3] settings panel    20023 tok    87.7 t/s   
[3/3] settings panel    20043 tok    87.7 t/s   
[3/3] settings panel    20063 tok    87.7 t/s   
[3/3] settings panel    20083 tok    87.7 t/s   
[3/3] settings panel    20101 tok    87.6 t/s   
[3/3] settings panel    20124 tok    87.6 t/s   
[3/3] settings panel    20139 tok    87.6 t/s   
[3/3] settings panel    20163 tok    87.6 t/s   
[3/3] settings panel    20218 tok    87.7 t/s   
[3/3] settings panel    20246 tok    87.7 t/s   
[3/3] settings panel    20259 tok    87.7 t/s   
[3/3] settings panel    20279 tok    87.7 t/s   
[3/3] settings panel    20299 tok    87.7 t/s   
[3/3] settings panel    20319 tok    87.7 t/s   
[3/3] settings panel    20339 tok    87.7 t/s   
[3/3] settings panel    20357 tok    87.6 t/s   
[3/3] settings panel    20377 tok    87.6 t/s   
[3/3] settings panel    20397 tok    87.6 t/s   
[3/3] settings panel    20417 tok    87.6 t/s   
[3/3] settings panel    20436 tok    87.6 t/s   
[3/3] settings panel    20455 tok    87.6 t/s   
[3/3] settings panel    20474 tok    87.6 t/s   
[3/3] settings panel    20494 tok    87.5 t/s   
[3/3] settings panel    20513 tok    87.5 t/s   
[3/3] settings panel    20533 tok    87.5 t/s   
[3/3] settings panel    20545 tok    87.4 t/s   
[3/3] settings panel    20571 tok    87.4 t/s   
[3/3] settings panel    20590 tok    87.4 t/s   
[3/3] settings panel    20606 tok    87.3 t/s   
[3/3] settings panel    20660 tok    87.4 t/s   
[3/3] settings panel    20738 tok    87.6 t/s   
[3/3] settings panel    20809 tok    87.8 t/s   
[3/3] settings panel    20840 tok    87.9 t/s   
[3/3] settings panel    20881 tok    88.0 t/s   
[3/3] settings panel    20906 tok    88.0 t/s   
[3/3] settings panel    20968 tok    88.1 t/s   
[3/3] settings panel    20987 tok    88.1 t/s   
[3/3] settings panel    21006 tok    88.1 t/s   
[3/3] settings panel    21029 tok    88.1 t/s   
[3/3] settings panel    21048 tok    88.1 t/s   
[3/3] settings panel    21067 tok    88.1 t/s   
[3/3] settings panel    21086 tok    88.1 t/s   
[3/3] settings panel    21101 tok    88.0 t/s   
[3/3] settings panel    21119 tok    88.0 t/s   
[3/3] settings panel    21138 tok    88.0 t/s   
[3/3] settings panel    21150 tok    88.0 t/s   
[3/3] settings panel    21169 tok    87.9 t/s   
[3/3] settings panel    21184 tok    87.9 t/s   
[3/3] settings panel    21203 tok    87.9 t/s   
[3/3] settings panel    21222 tok    87.9 t/s   
[3/3] settings panel    21250 tok    87.9 t/s   
[3/3] settings panel    21269 tok    87.9 t/s   
[3/3] settings panel    21285 tok    87.8 t/s   
[3/3] settings panel    21365 tok    88.1 t/s   
[3/3] settings panel    21383 tok    88.0 t/s   
[3/3] settings panel    21402 tok    88.0 t/s   
[3/3] settings panel    21421 tok    88.0 t/s   
[3/3] settings panel    21491 tok    88.2 t/s   
[3/3] settings panel    21515 tok    88.2 t/s   
[3/3] settings panel    21540 tok    88.2 t/s   
[3/3] settings panel    21559 tok    88.2 t/s   
[3/3] settings panel    21578 tok    88.2 t/s   
[3/3] settings panel    21605 tok    88.2 t/s   
[3/3] settings panel    21687 tok    88.4 t/s   
[3/3] settings panel    21706 tok    88.4 t/s   
[3/3] settings panel    21725 tok    88.4 t/s   
[3/3] settings panel    21744 tok    88.4 t/s   
[3/3] settings panel    21763 tok    88.4 t/s   
[3/3] settings panel    21782 tok    88.4 t/s   
[3/3] settings panel    21801 tok    88.4 t/s   
[3/3] settings panel    21820 tok    88.4 t/s   
[3/3] settings panel    21836 tok    88.3 t/s   
[3/3] settings panel    21870 tok    88.3 t/s   
[3/3] settings panel    21888 tok    88.3 t/s   
[3/3] settings panel    21907 tok    88.3 t/s   
[3/3] settings panel    21926 tok    88.3 t/s   
[3/3] settings panel    21945 tok    88.3 t/s   
[3/3] settings panel    21962 tok    88.2 t/s   
[3/3] settings panel    21981 tok    88.2 t/s   
[3/3] settings panel    22000 tok    88.2 t/s   
[3/3] settings panel    22019 tok    88.2 t/s   
[3/3] settings panel    22038 tok    88.2 t/s   
[3/3] settings panel    22057 tok    88.2 t/s   
[3/3] settings panel    22076 tok    88.2 t/s   
[3/3] settings panel    22095 tok    88.2 t/s   
[3/3] settings panel    22108 tok    88.1 t/s   
[3/3] settings panel    22140 tok    88.1 t/s   
[3/3] settings panel    22159 tok    88.1 t/s   
[3/3] settings panel    22178 tok    88.1 t/s   
[3/3] settings panel    22197 tok    88.1 t/s   
[3/3] settings panel    22216 tok    88.1 t/s   
[3/3] settings panel    22235 tok    88.1 t/s   
[3/3] settings panel    22254 tok    88.1 t/s   
[3/3] settings panel    22273 tok    88.0 t/s   
[3/3] settings panel    22292 tok    88.0 t/s   
[3/3] settings panel    22311 tok    88.0 t/s   
[3/3] settings panel    22324 tok    88.0 t/s   
[3/3] settings panel    22408 tok    88.2 t/s   
[3/3] settings panel    22436 tok    88.2 t/s   
[3/3] settings panel    22451 tok    88.2 t/s   
[3/3] settings panel    22478 tok    88.2 t/s   
[3/3] settings panel    22497 tok    88.2 t/s   
[3/3] settings panel    22516 tok    88.2 t/s   
[3/3] settings panel    22527 tok    88.1 t/s   
[3/3] settings panel    22546 tok    88.1 t/s   
[3/3] settings panel    22565 tok    88.1 t/s   
[3/3] settings panel    22584 tok    88.1 t/s   
[3/3] settings panel    22603 tok    88.1 t/s   
[3/3] settings panel    22626 tok    88.1 t/s   
[3/3] settings panel    22645 tok    88.1 t/s   
[3/3] settings panel    22663 tok    88.0 t/s   
[3/3] settings panel    22681 tok    88.0 t/s   
[3/3] settings panel    22701 tok    88.0 t/s   
[3/3] settings panel    22731 tok    88.0 t/s   
[3/3] settings panel    22748 tok    88.0 t/s   
[3/3] settings panel    22770 tok    88.0 t/s   
[3/3] settings panel    22792 tok    88.0 t/s   
[3/3] settings panel    22811 tok    87.9 t/s   
[3/3] settings panel    22822 tok    87.9 t/s   
[3/3] settings panel    22841 tok    87.9 t/s   
[3/3] settings panel    22860 tok    87.9 t/s   
[3/3] settings panel    22879 tok    87.9 t/s   
[3/3] settings panel    22898 tok    87.8 t/s   
[3/3] settings panel    22916 tok    87.8 t/s   
[3/3] settings panel    22927 tok    87.8 t/s   
[3/3] settings panel    22947 tok    87.8 t/s   
[3/3] settings panel    22966 tok    87.8 t/s   
[3/3] settings panel    22985 tok    87.7 t/s   
[3/3] settings panel    23004 tok    87.7 t/s   
[3/3] settings panel    23023 tok    87.7 t/s   
[3/3] settings panel    23042 tok    87.7 t/s   
[3/3] settings panel    23061 tok    87.7 t/s   
[3/3] settings panel    23075 tok    87.7 t/s   
[3/3] settings panel    23094 tok    87.6 t/s   
[3/3] settings panel    23113 tok    87.6 t/s   
[3/3] settings panel    23155 tok    87.7 t/s   
[3/3] settings panel    23254 tok    88.0 t/s   
[3/3] settings panel    23322 tok    88.1 t/s   
[3/3] settings panel    23341 tok    88.1 t/s   
[3/3] settings panel    23352 tok    88.1 t/s   
[3/3] settings panel    23373 tok    88.1 t/s   
[3/3] settings panel    23384 tok    88.0 t/s   
[3/3] settings panel    23403 tok    88.0 t/s   
[3/3] settings panel    23416 tok    88.0 t/s   
[3/3] settings panel    23432 tok    87.9 t/s   
[3/3] settings panel    23496 tok    88.0 t/s   
[3/3] settings panel    23530 tok    88.1 t/s   
[3/3] settings panel    23589 tok    88.2 t/s   
[3/3] settings panel    23608 tok    88.2 t/s   
[3/3] settings panel    23629 tok    88.2 t/s   
[3/3] settings panel    23647 tok    88.2 t/s   
[3/3] settings panel    23685 tok    88.2 t/s   
[3/3] settings panel    23704 tok    88.2 t/s   
[3/3] settings panel    23723 tok    88.2 t/s   
[3/3] settings panel    23742 tok    88.2 t/s   
[3/3] settings panel    23761 tok    88.2 t/s   
[3/3] settings panel    23780 tok    88.1 t/s   
[3/3] settings panel    23799 tok    88.1 t/s   
[3/3] settings panel    23818 tok    88.1 t/s   
[3/3] settings panel    23837 tok    88.1 t/s   
[3/3] settings panel    23856 tok    88.1 t/s   
[3/3] settings panel    23875 tok    88.1 t/s   
[3/3] settings panel    23894 tok    88.1 t/s   
[3/3] settings panel    23913 tok    88.0 t/s   
[3/3] settings panel    23931 tok    88.0 t/s   
[3/3] settings panel    23950 tok    88.0 t/s   
[3/3] settings panel    23969 tok    88.0 t/s   
[3/3] settings panel    23988 tok    88.0 t/s   
[3/3] settings panel    24007 tok    88.0 t/s   
[3/3] settings panel    24026 tok    87.9 t/s   
[3/3] settings panel    24045 tok    87.9 t/s   
[3/3] settings panel    24064 tok    87.9 t/s   
[3/3] settings panel    24083 tok    87.9 t/s   
[3/3] settings panel    24102 tok    87.9 t/s   
[3/3] settings panel    24121 tok    87.9 t/s   
[3/3] settings panel    24140 tok    87.9 t/s   
[3/3] settings panel    24159 tok    87.9 t/s   
[3/3] settings panel    24178 tok    87.8 t/s   
[3/3] settings panel    24195 tok    87.8 t/s   
[3/3] settings panel    24205 tok    87.8 t/s   
[3/3] settings panel    24265 tok    87.9 t/s   
[3/3] settings panel    24309 tok    87.9 t/s   
[3/3] settings panel    24329 tok    87.9 t/s   
[3/3] settings panel    24361 tok    88.0 t/s   
[3/3] settings panel    24373 tok    87.9 t/s   
[3/3] settings panel    24415 tok    88.0 t/s   
[3/3] settings panel    24449 tok    88.0 t/s   
[3/3] settings panel    24460 tok    88.0 t/s   
[3/3] settings panel    24494 tok    88.0 t/s   
[3/3] settings panel    24522 tok    88.0 t/s   
[3/3] settings panel    24543 tok    88.0 t/s   
[3/3] settings panel    24602 tok    88.2 t/s   
[3/3] settings panel    24664 tok    88.3 t/s   
[3/3] settings panel    24693 tok    88.3 t/s   
[3/3] settings panel    24737 tok    88.4 t/s   
[3/3] settings panel    24755 tok    88.4 t/s   
[3/3] settings panel    24774 tok    88.3 t/s   
[3/3] settings panel    24793 tok    88.3 t/s   
[3/3] settings panel    24812 tok    88.3 t/s   
[3/3] settings panel    24828 tok    88.3 t/s   
